seed,soil,season,states,info,growth_days,fertilizers,irrigation
Pomegranate,Sandy loam,Perennial,Gujarat,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual",Irrigate at flowering and fruiting
Coconut,Coastal soil,Perennial,Kerala,"Nut crop, coastal regions",365+,"Organic manure, Potash annual",Water every 15–20 days
Tea,Laterite,Perennial,Assam,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular - follow local extension recommendations,Water in dry months
Coffee,Laterite,Perennial,Karnataka,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Irrigate in dry season - follow local extension recommendations
Rubber,Laterite,Perennial,Kerala,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers",Water in dry season
Tobacco,Alluvial,Rabi,Gujarat,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing - follow local extension recommendations",Water every 7–10 days
Jute,Sandy loam,Kharif,West Bengal,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal - follow local extension recommendations,Irrigate if rainfall is insufficient
Cotton Hybrid,Black soil,Kharif,Maharashtra,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering (apply as needed)",Irrigate at boll formation - follow local extension recommendations
Sesame,Alluvial,Kharif,UP,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal (apply as needed)","Usually rainfed, water at flowering"
Castor,Sandy loam,Kharif,Rajasthan,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal,Irrigate at flowering and capsule formation
Safflower,Sandy loam,Rabi,Maharashtra,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering","Usually rainfed, water at flowering"
Linseed,Loamy,Rabi,Madhya Pradesh,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal - follow local extension recommendations,Irrigate once at flowering
Peas,Loamy,Rabi,Punjab,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen",Irrigate at flowering and pod filling - follow local extension recommendations
Rice,Clay,Rabi,Odisha,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage (apply as needed)",Water every 7–10 days
Wheat,Loamy,Rabi,Haryana,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling (apply as needed)","Irrigate at CRI, booting, flowering, and grain filling - follow local extension recommendations"
Maize,Alluvial,Kharif,Karnataka,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling - follow local extension recommendations","Irrigate at knee-high, tasseling, grain filling"
Sugarcane,Loamy,Annual,Tamil Nadu,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal (apply as needed)","Water every 7–12 days in summer, 15–20 in winter"
Cotton,Black soil,Kharif,Maharashtra,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering (apply as needed)",Irrigate every 7–12 days during boll formation (apply as needed)
Pulses (Tur/Arhar),Sandy loam,Kharif,Karnataka,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen (apply as needed)",One irrigation at flowering if dry
Groundnut,Red soil,Kharif,Andhra Pradesh,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal (apply as needed)",Irrigate at pegging and pod development
Bajra (Pearl Millet),Sandy,Kharif,Karnataka,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs (apply as needed)",Usually rainfed; 1–2 irrigations if dry
Jowar (Sorghum),Black soil,Kharif,Telangana,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal (apply as needed),Rainfed; irrigate at booting and grain filling - follow local extension recommendations
Barley,Sandy loam,Rabi,Rajasthan,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering - follow local extension recommendations,"2–3 irrigations: tillering, booting, grain filling (apply as needed)"
Soybean,Black,Kharif,Maharashtra,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal",Irrigate at pod initiation and seed filling (apply as needed)
Mustard,Loamy,Rabi,UP,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing - follow local extension recommendations","Irrigate at branching, flowering, pod formation"
Sunflower,Loamy,Kharif,Maharashtra,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering","Irrigate at seedling, flowering, seed filling"
Potato,Sandy loam,Rabi,Bihar,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses","Irrigate at stolon formation, tuber bulking"
Onion,Sandy loam,Rabi,Maharashtra,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash (apply as needed),"Water every 10–12 days, critical at bulb formation"
Tomato,Loamy,Kharif,Karnataka,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits - follow local extension recommendations",Water every 6–8 days
Brinjal,Loamy,Annual,West Bengal,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits - follow local extension recommendations",Irrigate every 7–10 days
Cabbage,Loamy,Rabi,UP,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal",Irrigate every 10–12 days (apply as needed)
Cauliflower,Loamy,Rabi,UP,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash",Irrigate every 8–10 days - follow local extension recommendations
Chilli,Loamy,Kharif,Karnataka,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering (apply as needed)",Irrigate every 7–10 days (apply as needed)
Carrot,Sandy loam,Rabi,Haryana,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS",Irrigate every 12–15 days - follow local extension recommendations
Radish,Loamy,Rabi,Haryana,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS (apply as needed)",Irrigate every 7–10 days (apply as needed)
Spinach,Sandy loam,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal",Irrigate every 5–7 days (apply as needed)
Lentil,Loamy,Rabi,Madhya Pradesh,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal","Usually rainfed, one irrigation at flowering - follow local extension recommendations"
Gram (Chickpea),Sandy loam,Rabi,Rajasthan,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal",One irrigation at pod formation - follow local extension recommendations
Turmeric,Loamy,Kharif,Telangana,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits - follow local extension recommendations",Irrigate every 10–15 days
Ginger,Loamy,Kharif,Karnataka,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits",Irrigate every 7–10 days (apply as needed)
Black Pepper,Loamy,Perennial,Karnataka,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal (apply as needed)",Irrigate every 10–12 days - follow local extension recommendations
Cardamom,Forest soil,Perennial,Karnataka,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal",Regular irrigation in dry months
Banana,Loamy,Annual,Gujarat,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits",Irrigate every 7–10 days (apply as needed)
Mango,Sandy loam,Perennial,Bihar,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set (apply as needed)","Water young plants, flowering, fruiting"
Papaya,Sandy loam,Annual,Karnataka,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application - follow local extension recommendations,Irrigate every 7–10 days - follow local extension recommendations
Guava,Loamy,Perennial,Maharashtra,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual","Irrigate young plants, flowering, fruiting"
Apple,Sandy loam,Rabi,Himachal Pradesh,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits",Irrigate during fruit set and dry periods (apply as needed)
Grapes,Loamy,Annual,Maharashtra,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal",Irrigate every 7–10 days
Pineapple,Laterite,Annual,Meghalaya,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal",Irrigate every 10–15 days - follow local extension recommendations
Watermelon,Loamy,Kharif,UP,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set - follow local extension recommendations",Irrigate weekly until fruiting - follow local extension recommendations
Muskmelon,Loamy,Summer,Rajasthan,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set",Irrigate at 7–10 day intervals
Pomegranate,Sandy loam,Perennial,Maharashtra,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual - follow local extension recommendations",Irrigate at flowering and fruiting
Coconut,Sandy loam,Perennial,Tamil Nadu,"Nut crop, coastal regions",365+,"Organic manure, Potash annual",Irrigate every 15–20 days - follow local extension recommendations
Tea,Loamy,Perennial,Kerala,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular - follow local extension recommendations,Irrigate in dry months - follow local extension recommendations
Coffee,Loamy,Perennial,Kerala,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal (apply as needed)",Water in dry season
Rubber,Loamy,Perennial,Kerala,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers (apply as needed)",Irrigate in dry season - follow local extension recommendations
Tobacco,Alluvial,Rabi,Andhra Pradesh,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing (apply as needed)",Irrigate every 7–10 days (apply as needed)
Jute,Sandy loam,Kharif,West Bengal,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal,Water if rainfall is insufficient
Cotton Hybrid,Black soil,Kharif,AP,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering",Irrigate at boll formation
Sesame,Alluvial,Rabi,Gujarat,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal - follow local extension recommendations","Usually rainfed, irrigate at flowering - follow local extension recommendations"
Castor,Sandy loam,Kharif,Rajasthan,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal - follow local extension recommendations,Irrigate at flowering and capsule formation
Safflower,Sandy loam,Rabi,Maharashtra,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering (apply as needed)","Usually rainfed, irrigate at flowering (apply as needed)"
Linseed,Sandy loam,Rabi,Madhya Pradesh,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal - follow local extension recommendations,Water once at flowering
Peas,Sandy loam,Rabi,Bihar,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen",Irrigate at flowering and pod filling - follow local extension recommendations
Rice,Clay,Rabi,Odisha,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage - follow local extension recommendations",Water every 7–10 days
Wheat,Alluvial,Rabi,Punjab,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling","Irrigate at CRI, booting, flowering, and grain filling - follow local extension recommendations"
Maize,Sandy loam,Rabi,Karnataka,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling","Irrigate at knee-high, tasseling, grain filling (apply as needed)"
Sugarcane,Alluvial,Annual,Uttar Pradesh,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal - follow local extension recommendations","Irrigate every 7–12 days in summer, 15–20 in winter (apply as needed)"
Cotton,Black soil,Kharif,Gujarat,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering - follow local extension recommendations",Irrigate every 7–12 days during boll formation (apply as needed)
Pulses (Tur/Arhar),Sandy loam,Kharif,Madhya Pradesh,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen",One irrigation at flowering if dry (apply as needed)
Groundnut,Sandy loam,Kharif,Gujarat,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal",Irrigate at pegging and pod development
Bajra (Pearl Millet),Sandy,Kharif,Rajasthan,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs",Usually rainfed; 1–2 irrigations if dry
Jowar (Sorghum),Sandy loam,Rabi,Telangana,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal,Rainfed; water at booting and grain filling
Barley,Sandy loam,Rabi,Haryana,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering,"2–3 irrigations: tillering, booting, grain filling"
Soybean,Black,Kharif,Madhya Pradesh,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal",Irrigate at pod initiation and seed filling (apply as needed)
Mustard,Sandy,Rabi,UP,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing","Irrigate at branching, flowering, pod formation"
Sunflower,Loamy,Kharif,Maharashtra,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering (apply as needed)","Irrigate at seedling, flowering, seed filling"
Potato,Alluvial,Rabi,West Bengal,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses - follow local extension recommendations","Irrigate at stolon formation, tuber bulking (apply as needed)"
Onion,Loamy,Rabi,Maharashtra,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash - follow local extension recommendations,"Irrigate every 10–12 days, critical at bulb formation - follow local extension recommendations"
Tomato,Loamy,Rabi,Karnataka,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits - follow local extension recommendations",Water every 6–8 days
Brinjal,Sandy loam,Annual,Karnataka,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits (apply as needed)",Irrigate every 7–10 days - follow local extension recommendations
Cabbage,Sandy loam,Rabi,Bihar,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal (apply as needed)",Irrigate every 10–12 days (apply as needed)
Cauliflower,Loamy,Rabi,UP,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash - follow local extension recommendations",Water every 8–10 days
Chilli,Sandy loam,Rabi,Karnataka,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering",Irrigate every 7–10 days - follow local extension recommendations
Carrot,Loamy,Rabi,Punjab,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS",Irrigate every 12–15 days (apply as needed)
Radish,Loamy,Rabi,UP,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS (apply as needed)",Irrigate every 7–10 days
Spinach,Loamy,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal - follow local extension recommendations",Irrigate every 5–7 days - follow local extension recommendations
Lentil,Loamy,Rabi,UP,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal - follow local extension recommendations","Usually rainfed, one irrigation at flowering - follow local extension recommendations"
Gram (Chickpea),Loamy,Rabi,Rajasthan,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal",One irrigation at pod formation - follow local extension recommendations
Turmeric,Loamy,Kharif,Kerala,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits (apply as needed)",Irrigate every 10–15 days - follow local extension recommendations
Ginger,Alluvial,Kharif,Odisha,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits (apply as needed)",Irrigate every 7–10 days (apply as needed)
Black Pepper,Loamy,Perennial,Karnataka,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal (apply as needed)",Water every 10–12 days
Cardamom,Loamy,Perennial,Karnataka,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal",Regular irrigation in dry months
Banana,Alluvial,Annual,Gujarat,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Irrigate every 7–10 days (apply as needed)
Mango,Sandy loam,Perennial,UP,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set (apply as needed)","Water young plants, flowering, fruiting"
Papaya,Sandy loam,Annual,Karnataka,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application,Water every 7–10 days
Guava,Sandy loam,Perennial,UP,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual (apply as needed)","Water young plants, flowering, fruiting"
Apple,Sandy loam,Rabi,Himachal Pradesh,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits (apply as needed)",Irrigate during fruit set and dry periods - follow local extension recommendations
Grapes,Sandy loam,Annual,Karnataka,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal",Irrigate every 7–10 days
Pineapple,Sandy loam,Annual,Assam,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal",Irrigate every 10–15 days - follow local extension recommendations
Watermelon,Loamy,Kharif,UP,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set",Water weekly until fruiting
Muskmelon,Sandy loam,Summer,Rajasthan,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set",Irrigate at 7–10 day intervals
Pomegranate,Sandy loam,Perennial,Gujarat,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual - follow local extension recommendations",Irrigate at flowering and fruiting - follow local extension recommendations
Coconut,Coastal soil,Perennial,Karnataka,"Nut crop, coastal regions",365+,"Organic manure, Potash annual - follow local extension recommendations",Irrigate every 15–20 days (apply as needed)
Tea,Laterite,Perennial,Assam,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular,Irrigate in dry months (apply as needed)
Coffee,Loamy,Perennial,Karnataka,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Irrigate in dry season
Rubber,Laterite,Perennial,Tamil Nadu,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers - follow local extension recommendations",Irrigate in dry season - follow local extension recommendations
Tobacco,Sandy loam,Kharif,Andhra Pradesh,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing (apply as needed)",Irrigate every 7–10 days (apply as needed)
Jute,Sandy loam,Kharif,Bihar,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal,Irrigate if rainfall is insufficient (apply as needed)
Cotton Hybrid,Black soil,Kharif,Gujarat,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering",Water at boll formation
Sesame,Alluvial,Kharif,UP,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal","Usually rainfed, water at flowering"
Castor,Black soil,Rabi,Rajasthan,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal,Irrigate at flowering and capsule formation - follow local extension recommendations
Safflower,Sandy loam,Rabi,Karnataka,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering - follow local extension recommendations","Usually rainfed, irrigate at flowering - follow local extension recommendations"
Linseed,Loamy,Rabi,UP,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal (apply as needed),Irrigate once at flowering (apply as needed)
Peas,Loamy,Rabi,UP,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen",Irrigate at flowering and pod filling (apply as needed)
Rice,Alluvial,Kharif,Andhra Pradesh,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage - follow local extension recommendations",Irrigate every 7–10 days (apply as needed)
Wheat,Alluvial,Rabi,Bihar,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling","Irrigate at CRI, booting, flowering, and grain filling - follow local extension recommendations"
Maize,Alluvial,Rabi,Bihar,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling (apply as needed)","Irrigate at knee-high, tasseling, grain filling"
Sugarcane,Loamy,Annual,Maharashtra,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal - follow local extension recommendations","Irrigate every 7–12 days in summer, 15–20 in winter (apply as needed)"
Cotton,Black soil,Kharif,Gujarat,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering",Irrigate every 7–12 days during boll formation (apply as needed)
Pulses (Tur/Arhar),Black soil,Kharif,Madhya Pradesh,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen - follow local extension recommendations",One irrigation at flowering if dry
Groundnut,Red soil,Rabi,Andhra Pradesh,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal",Irrigate at pegging and pod development (apply as needed)
Bajra (Pearl Millet),Light loam,Kharif,Rajasthan,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs",Usually rainfed; 1–2 irrigations if dry (apply as needed)
Jowar (Sorghum),Sandy loam,Rabi,Karnataka,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal - follow local extension recommendations,Rainfed; irrigate at booting and grain filling
Barley,Loamy,Rabi,Punjab,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering,"2–3 irrigations: tillering, booting, grain filling (apply as needed)"
Soybean,Black,Kharif,Madhya Pradesh,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal",Irrigate at pod initiation and seed filling
Mustard,Sandy,Rabi,UP,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing","Irrigate at branching, flowering, pod formation - follow local extension recommendations"
Sunflower,Sandy loam,Rabi,Andhra Pradesh,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering - follow local extension recommendations","Irrigate at seedling, flowering, seed filling - follow local extension recommendations"
